product_name,variant_name,variant_price,variant_sku,Variant values Stock,parent,Favourite,Product Description, Short Description,Information,Variant Header 1,Variant Header 2,Variant Header 3,Variant Header 4,discount code,GroupName,Sort,Image,category_name,sub_category_name,child_level_1,child_level_2,child_level_3,child_level_4,child_level_5
,3/4 BSPT Female X 3/4 BSPP Female Swivel,11.9,B1FFS-12-12,12,B1FFS,,,,,3/4,3/4,,,,2,12-Dec,,,,,,,,
,1-0 BSPT Female X 1-0 BSPP Female Swivel,41.75,B1FFS-16-16,25,B1FFS,,,,,1,1,,,,2,16-16,,,,,,,,
B1M,,0,,0,,,,BSPT Male X BSPT Male,,BSPT M,BSPT M,,,,0,11950,http://localhost/truflow/public/admin/images/csv_product_img/B1M.jpg,Hydraulic , Adaptors , Straight Adaptors,,,,
,1/8 BSPT Male X 1/8 BSPT Male,2.9,B1M-02-02,1416,B1M,,,,,1/8,1/8,,,,2,2-Feb,,,,,,,,
,1/8 BSPT Male X 1/4 BSPT Male,1.85,B1M-02-04,897,B1M,,,,,1/8,1/4,,,,2,4-Feb,,,,,,,,
,1/8 BSPT Male X 3/8 BSPT Male,3.75,B1M-02-06,348,B1M,,,,,1/8,3/8,,,,2,6-Feb,,,,,,,,
,1/4 BSPT Male X 1/4 BSPT Male,2.1,B1M-04-04,1854,B1M,,,,,1/4,1/4,,,,2,4-Apr,,,,,,,,
,1/4 BSPT Male X 3/8 BSPT Male,2.3,B1M-04-06,1000,B1M,,,,,1/4,3/8,,,,2,6-Apr,,,,,,,,
,1/4 BSPT Male X 1/2 BSPT Male,3.7,B1M-04-08,630,B1M,,,,,1/4,1/2,,,,2,8-Apr,,,,,,,,
,1/4 BSPT Male X 3/4 BSPT Male,7.75,B1M-04-12,24,B1M,,,,,1/4,3/4,,,,2,12-Apr,,,,,,,,
,3/8 BSPT Male X 3/8 BSPT Male,2.35,B1M-06-06,1031,B1M,,,,,3/8,3/8,,,,2,6-Jun,,,,,,,,
,3/8 BSPT Male X 1/2 BSPT Male,3,B1M-06-08,1143,B1M,,,,,3/8,1/2,,,,2,8-Jun,,,,,,,,
,3/8 BSPT Male X 3/4 BSPT Male,6.7,B1M-06-12,51,B1M,,,,,3/8,3/4,,,,2,12-Jun,,,,,,,,
,3/8 BSPT Male X 1-0 BSPT Male,12.75,B1M-06-16,23,B1M,,,,,3/8,1,,,,2,16-Jun,,,,,,,,
,1/2 BSPT Male X 1/2 BSPT Male,3,B1M-08-08,1329,B1M,,,,,1/2,1/2,,,,2,8-Aug,,,,,,,,
,1/2 BSPT Male X 5/8 BSPT Male,14.24,B1M-08-10,145,B1M,,,,,1/2,5/8,,,,2,10-Aug,,,,,,,,
,1/2 BSPT Male X 3/4 BSPT Male,4.5,B1M-08-12,522,B1M,,,,,1/2,3/4,,,,2,12-Aug,,,,,,,,
,1/2 BSPT Male X 1-0 BSPT Male,10.8,B1M-08-16,250,B1M,,,,,1/2,1,,,,2,16-Aug,,,,,,,,
,5/8 BSPT Male X 5/8 BSPT Male,10.45,B1M-10-10,68,B1M,,,,,5/8,5/8,,,,2,10-Oct,,,,,,,,
,5/8 BSPT Male X 3/4 BSPT Male,10.2,B1M-10-12,129,B1M,,,,,5/8,3/4,,,,2,12-Oct,,,,,,,,
,3/4 BSPT Male X 3/4 BSPT Male,4.2,B1M-12-12,1071,B1M,,,,,3/4,3/4,,,,2,12-Dec,,,,,,,,
,3/4 BSPT Male X 1-0 BSPT Male,6.8,B1M-12-16,761,B1M,,,,,3/4,1,,,,2,16-Dec,,,,,,,,
,3/4 BSPT Male X 1-1/4 BSPT Male,19.15,B1M-12-20,11,B1M,,,,,3/4,1 1/4,,,,2,20-Dec,,,,,,,,
,3/4 BSPT Male X 1-1/2 BSPT Male,39.33,B1M-12-24,5,B1M,,,,,3/4,1 1/2,,,,2,24-Dec,,,,,,,,
,1-0 BSPT Male X 1-0 BSPT Male,7.95,B1M-16-16,1110,B1M,,,,,1,1,,,,2,16-16,,,,,,,,
,1-0 BSPT Male X 1-1/4 BSPT Male,24.1,B1M-16-20,145,B1M,,,,,1,1 1/4,,,,2,16-20,,,,,,,,
,1-0 BSPT Male X 1-1/2 BSPT Male,31.9,B1M-16-24,187,B1M,,,,,1,1 1/2,,,,2,16-24,,,,,,,,
,1-1/4 BSPT Male X 1-1/4 BSPT Male,15.35,B1M-20-20,169,B1M,,,,,1 1/4,1 1/4,,,,2,20-20,,,,,,,,
,1-1/4 BSPT Male X 1-1/2 BSPT Male,25,B1M-20-24,120,B1M,,,,,1 1/4,1 1/2,,,,2,20-24,,,,,,,,
,1-1/4 BSPT Male X 2-0 BSPT Male,49.95,B1M-20-32,3,B1M,,,,,1 1/4,2,,,,2,20-32,,,,,,,,
,1-1/2 BSPT Male X 1-1/2 BSPT Male,28.65,B1M-24-24,132,B1M,,,,,1 1/2,1 1/2,,,,2,24-24,,,,,,,,
,1-1/2 BSPT Male X 2-0 BSPT Male,41.95,B1M-24-32,66,B1M,,,,,1 1/2,2,,,,2,24-32,,,,,,,,
,2-0 BSPT Male X 2-0 BSPT Male,50,B1M-32-32,174,B1M,,,,,2,2,,,,2,32-32,,,,,,,,
B1MF,,0,,0,,,,BSPT Male X BSPT Female,,BSPT M,BSPT F,,,,0,11960,http://localhost/truflow/public/admin/images/csv_product_img/B1MF.jpg,Hydraulic , Adaptors , Straight Adaptors,,,,
,1/8 BSPT Male X 1/8 BSPT Female,5.15,B1MF-02-02,614,B1MF,,,,,1/8,1/8,,,,2,2-Feb,,,,,,,,
,1/8 BSPT Male X 1/4 BSPT Female,3.95,B1MF-02-04,311,B1MF,,,,,1/8,1/4,,,,2,4-Feb,,,,,,,,
,1/4 BSPT Male X 1/4 BSPT Female,6.97,B1MF-04-04,458,B1MF,,,,,1/4,1/4,,,,2,4-Apr,,,,,,,,
,1/4 BSPT Male X 3/8 BSPT Female,13.45,B1MF-04-06,438,B1MF,,,,,1/4,3/8,,,,2,6-Apr,,,,,,,,
,1/4 BSPT Male X 1/2 BSPT Female,14.13,B1MF-04-08,92,B1MF,,,,,1/4,1/2,,,,2,8-Apr,,,,,,,,
,3/8 BSPT Male X 3/8 BSPT Female,6.8,B1MF-06-06,112,B1MF,,,,,3/8,3/8,,,,2,6-Jun,,,,,,,,
,3/8 BSPT Male X 1/2 BSPT Female,14.85,B1MF-06-08,135,B1MF,,,,,3/8,1/2,,,,2,8-Jun,,,,,,,,
,1/2 BSPT Male X 1/2 BSPT Female,10.13,B1MF-08-08,128,B1MF,,,,,1/2,1/2,,,,2,8-Aug,,,,,,,,
,1/2 BSPT Male X 3/4 BSPT Female,23.59,B1MF-08-12,229,B1MF,,,,,1/2,3/4,,,,2,12-Aug,,,,,,,,
,3/4 BSPT Male X 3/4 BSPT Female,14.91,B1MF-12-12,77,B1MF,,,,,3/4,3/4,,,,2,12-Dec,,,,,,,,
,3/4 BSPT Male X 1-0 BSPT Female,19.75,B1MF-12-16,70,B1MF,,,,,3/4,1,,,,2,16-Dec,,,,,,,,
,1-0 BSPT Male X 1-0 BSPT Female,22.55,B1MF-16-16,2,B1MF,,,,,1,1,,,,2,16-16,,,,,,,,
,1-0 BSPT Male X 1-1/4 BSPT Female,46,B1MF-16-20,12,B1MF,,,,,1,1 1/4,,,,2,16-20,,,,,,,,
,1-1/4 BSPT Male X 1-1/4 BSPT Female,46.55,B1MF-20-20,22,B1MF,,,,,1 1/4,1 1/4,,,,2,20-20,,,,,,,,
,1-1/2 BSPT Male X 1-1/2 BSPT Female,94.45,B1MF-24-24,17,B1MF,,,,,1 1/2,1 1/2,,,,2,24-24,,,,,,,,
,2-0 BSPT Male X 2.0 BSPT Female,54.6,B1MF-32-32,16,B1MF,,,,,2,2,,,,2,32-32,,,,,,,,
